time,open,high,low,close,Long Entry,Short Entry,Long Exit,Short Exit,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
1774548000,66.48,66.88,65.96,66.0853,0,0,0,0,904258,35.458087535406975,47.09208935551698,,,,,20.743453736763865
1774549800,66.0999,66.3467,65.91,66.085,0,0,0,0,728204,35.45704287940478,45.499898998987696,,,,,20.883859522740803
1774551600,66.11,66.1399,65.59,66.015,0,0,0,0,873428,35.19647633624898,43.8210512704452,,,,,21.227806341051554
1774553400,66.02,66.1997,65.81,65.9,0,0,0,0,1400283,34.74473521154009,41.96366233712775,,,,,21.477825032300128
1774618200,66.03,66.095,62.29,62.655,0,0,0,0,2952627,24.99577023442771,39.23317008359211,,,,,23.477402323818
1774620000,62.68,63.15,61.5,61.765,0,0,0,0,1913082,23.08276026276448,37.17004239153169,,,,,25.599799590277073
1774621800,61.755,62.2641,61.3,61.95,0,0,0,0,1569131,24.37833757880388,35.48389885890571,,,,,27.636371978610146
1774623600,61.96,62.54,61.4,62.5,0,0,0,0,1162503,28.24779896401394,34.634404687006814,,,,,29.214894061760315
1774625400,62.5,62.95,62.02,62.115,0,0,0,0,878663,27.198656484170556,33.66657185331581,,,,,30.215755483627564
1774627200,62.12,62.1799,61.56,61.69,0,0,0,0,529958,26.048529092645225,32.30319041800412,,,,,31.347481362228763
1774629000,61.68,62.01,61.37,61.722,0,0,0,0,626422,26.301228645904203,31.247804884396036,,,,,32.48203174237304
1774630800,61.725,62.03,60.91,61.0015,0,0,0,0,773492,24.288749008555314,30.184441398043077,,,,,33.7375032519336
1774632600,61,61.23,60.52,60.54,0,0,0,0,611653,23.071035965553463,28.94651668938246,,,,,35.069676829506044
1774634400,60.54,61.09,60.515,60.87,0,0,0,0,499129,25.930636320811345,28.17141746573223,,,,,36.308883742432364
1774636200,60.88,61.57,60.775,60.93,0,0,0,0,439825,26.46584917304294,27.529114725563375,,,,,36.78042319998588
1774638000,60.9,61.07275,60.5,60.595,0,0,0,0,718504,25.363849835656126,26.80817236529561,,,,,37.36941471758198
1774639800,60.6,61.01,60.35,60.94,0,0,0,0,1290652,28.658408644067293,26.341167530139778,,,,,38.000001324352425
1774877400,61.45,61.64,57.91,58.16,0,0,0,0,2701577,20.72112699779386,25.339481229157904,,,,,39.630091394227435
1774879200,58.19,59.51,58.19,59.296,0,0,0,0,1298619,29.33400714841163,25.649355294442472,,,,,41.14374645911138
1774881000,59.27,59.789,58.04,59.08,0,0,0,0,1004820,28.695645139976364,26.050275642814746,,,,,42.14963799195289
1774882800,59.12,59.79,58.66,59.177,0,0,0,0,855998,29.438266686810536,26.411699150529508,,,,,43.082191390731786
1774884600,59.18,59.7899,58.67,58.9,0,0,0,0,661307,28.524648959706994,26.431474150221874,,,,,43.94813383245504
1774886400,58.91,58.94,57.835,57.87,0,0,0,0,685186,25.371525330857537,26.300964782128087,,,,,45.12039105168027
1774888200,57.87,58.32,57.32,57.43,0,0,0,0,702385,24.143732114539645,26.164907855120543,,,,,46.40995305050192
1774890000,57.47,57.6748,56.66,56.705,0,0,0,0,984881,22.234429950850924,25.874422234045312,,,,,47.84215811035895
1774891800,56.695,57.43,56.65,56.98,0,0,0,0,734797,24.66792008586029,25.90150588242424,,,,,49.175546373167805
1774893600,56.99,57.53,56.93,57.26,0,0,0,0,512618,27.16700170254245,26.19407486363774,,,,,50.23031464633806
1774895400,57.26,57.4909,56.5701,56.695,0,0,0,0,610907,25.340222709853464,26.15190246285503,,,,,51.3549753460762
1774897200,56.67,56.8552,56.132,56.75,0,0,0,0,943834,25.86283449778901,26.10882998605118,,,,,52.56658998682742
1774899000,56.75,57.76,56.56,57.36,0,0,0,0,1880885,31.582997237083575,26.553054800438854,,,,,52.09541764724811
1774963800,61.35,62.09,60.52,61.42,0,0,0,0,2869242,55.946282546993686,28.502188650647884,,,,,49.326635151988036
1774965600,61.39,61.44,60.5,61.25,0,0,0,0,1515852,55.062119615259476,30.955116694752572,,,,,46.73929659403094
1774967400,61.265,61.29,59.0301,59.44,0,0,0,0,1333374,46.61512431471667,32.1894822066315,,,,,43.576858049279885
1774969200,59.45,60.635,59.45,59.81,0,0,0,0,1146777,48.35914092920467,33.59401762014781,,,,,40.640307972011044
1774971000,59.76,60.08,59.16,59.23,0,0,0,0,662370,45.831543976437075,34.76496599797828,,,,,38.12624117149207
1774972800,59.22,60.04,59.13,59.95,0,0,0,0,604351,49.3693341472448,36.2538720828024,,,,,35.81464835163594
1774974600,59.94,62.79,59.815,62.33,0,0,0,0,2095840,58.92020594804117,38.650206412601236,,,,,34.739094013065845
1774976400,62.35,64.46,62.265,63.86,0,0,0,0,2056363,63.665351100250206,41.47317919729485,,,,,34.53781246969724
1774978200,63.85,64.58,63.45,63.87,0,0,0,0,1279854,63.69486879976117,44.434639115074155,,,,,34.403351844852445
1774980000,63.86,64.25,63.58,63.925,0,0,0,0,764688,63.868725803132236,47.23469666630786,,,,,34.2784955503537
1774981800,63.915,64.24,63.85,64.1,0,0,0,0,798451,64.45203518738185,49.89791334379639,,,,,34.162557562604874
1774983600,64.095,64.43,63.88,64.13,0,0,0,0,796117,64.55766970265765,52.69915955756812,,,,,34.15534979337831
1774985400,64.13,64.5297,63.68,64.17,0,0,0,0,2016052,64.70825675529701,55.473832575961545,,,,,33.92722138344526
1775050200,65.43,67.46,65.32,66.1241,0,0,0,0,3437184,71.15581305436079,58.30046227719563,,,,,35.03367296142711
1775052000,66.08,67.9,66.03,67.705,0,0,0,0,2351288,75.1165415360815,59.66976649070191,,,,,36.21080683487706
